Year,State Name,Indicator,total_deaths,rank_within_drug,top10_flag,national_all_drug_total,national_prev_year,national_yoy_change,national_yoy_pct,national_drug_total,ma_3yr,ma_5yr
2022,Alabama,Cocaine (T40.5),249.0,25,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Alabama,Cocaine (T40.5),299.0,24,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Alabama,Cocaine (T40.5),208.0,26,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2016,Alaska,Cocaine (T40.5),15.0,27,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Alaska,Cocaine (T40.5),18.0,28,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Alaska,Cocaine (T40.5),10.0,35,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2020,Alaska,Cocaine (T40.5),21.0,39,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Alaska,Cocaine (T40.5),11.0,44,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Alaska,Cocaine (T40.5),21.0,45,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Alaska,Cocaine (T40.5),31.0,43,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Alaska,Cocaine (T40.5),31.0,44,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2017,Arizona,Cocaine (T40.5),136.0,16,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Arizona,Cocaine (T40.5),175.0,16,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Arizona,Cocaine (T40.5),157.0,20,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Arizona,Cocaine (T40.5),187.0,21,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Arizona,Cocaine (T40.5),210.0,27,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Arizona,Cocaine (T40.5),229.0,27,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Arizona,Cocaine (T40.5),252.0,27,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Arizona,Cocaine (T40.5),256.0,23,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2022,Arkansas,Cocaine (T40.5),66.0,40,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Arkansas,Cocaine (T40.5),48.0,41,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Arkansas,Cocaine (T40.5),32.0,43,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2019,California,Cocaine (T40.5),870.0,5,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,California,Cocaine (T40.5),1221.0,2,1,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,California,Cocaine (T40.5),1439.0,3,1,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
