Year,State Name,Indicator,Total Deaths,Status
2015,Alabama,Cocaine (T40.5),,Final
2015,Alabama,Heroin (T40.1),,Final
2015,Alabama,Methadone (T40.3),,Final
2015,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2015,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2015,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2015,Alabama,Number of Deaths,50870.0,Final
2015,Alabama,Number of Drug Overdose Deaths,720.0,Final
2015,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2015,Alabama,Percent with drugs specified,49.58333333,Final
2015,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2015,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2016,Alabama,Cocaine (T40.5),,Final
2016,Alabama,Heroin (T40.1),,Final
2016,Alabama,Methadone (T40.3),,Final
2016,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2016,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2016,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2016,Alabama,Number of Deaths,51431.0,Final
2016,Alabama,Number of Drug Overdose Deaths,740.0,Final
2016,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2016,Alabama,Percent with drugs specified,57.2972973,Final
2016,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2016,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2017,Alabama,Cocaine (T40.5),,Final
2017,Alabama,Heroin (T40.1),,Final
2017,Alabama,Methadone (T40.3),,Final
2017,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2017,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2017,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2017,Alabama,Number of Deaths,52307.0,Final
2017,Alabama,Number of Drug Overdose Deaths,807.0,Final
2017,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2017,Alabama,Percent with drugs specified,69.02106568,Final
2017,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2017,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2018,Alabama,Cocaine (T40.5),,Final
2018,Alabama,Heroin (T40.1),,Final
2018,Alabama,Methadone (T40.3),,Final
2018,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2018,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2018,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2018,Alabama,Number of Deaths,53296.0,Final
2018,Alabama,Number of Drug Overdose Deaths,740.0,Final
2018,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2018,Alabama,Percent with drugs specified,74.86486486,Final
2018,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2018,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2019,Alabama,Cocaine (T40.5),,Final
2019,Alabama,Heroin (T40.1),,Final
2019,Alabama,Methadone (T40.3),,Final
2019,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2019,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2019,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2019,Alabama,Number of Deaths,53210.0,Final
2019,Alabama,Number of Drug Overdose Deaths,739.0,Final
2019,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2019,Alabama,Percent with drugs specified,80.92016238,Final
2019,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2019,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2020,Alabama,Cocaine (T40.5),,Final
2020,Alabama,Heroin (T40.1),,Final
2020,Alabama,Methadone (T40.3),,Final
2020,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2020,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2020,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2020,Alabama,Number of Deaths,63362.0,Final
2020,Alabama,Number of Drug Overdose Deaths,989.0,Final
2020,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2020,Alabama,Percent with drugs specified,84.63094034,Final
2020,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2020,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2021,Alabama,Cocaine (T40.5),,Final
2021,Alabama,Heroin (T40.1),,Final
2021,Alabama,Methadone (T40.3),,Final
